slug,school,name,title,cv_url,graduation_year,personal_url,hidden,google_scholar_url,alternative_name,graduation_school,faculty_directory_url,paper_list_url,bio
northwestern_ronen_gradwohl,Northwestern,Ronen Gradwohl,Assistant Professor of Managerial Economics & Decision Sciences,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2209,2009,,,https://scholar.google.com/citations?user=qCxxtzUAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=rgr210,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=rgr210#research,
northwestern_kent_grayson,Northwestern,Kent Grayson,Associate Professor of Marketing Bernice and Leonard Lavin Professorship,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2211,1994,,,https://scholar.google.com/citations?user=wFNeuYwAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=kag108,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=kag108#research,
northwestern_daniel_a_gruber,Northwestern,Daniel A. Gruber,"Assistant Professor, Medill School of Journalism Assistant Professor of Management & Organizations (Courtesy)",,,,TRUE,https://scholar.google.com/citations?user=ys8QxMsAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=dag951,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=dag951#research,
northwestern_itai_gurvich,Northwestern,Itai Gurvich,Associate Professor of Operations,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2215,2008,,,https://scholar.google.com/citations?user=08H1uAIAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=igu275,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=igu275#research,
northwestern_jason_hartline,Northwestern,Jason Hartline,"Associate Professor of Electrical Engineering and Computer Science, McCormick School of Engineering Associate Professor of Managerial Economics & Decision Sciences (Courtesy)",https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=12271,2003,,TRUE,https://scholar.google.com/citations?user=AdAd4QIAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=jdh734,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=jdh734#research,
northwestern_paul_hirsch,Northwestern,Paul Hirsch,James L. Allen Professor of Strategy & Organizations Professor of Management & Organizations,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2227,1973,,,,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=pmh240,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=pmh240#research,
northwestern_taiwei_hu,Northwestern,Tai-Wei Hu,Assistant Professor of Managerial Economics & Decision Sciences,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2231,2009,,,https://scholar.google.com/citations?user=4ecGPwEAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=thu845,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=thu845#research,
northwestern_thomas_n_hubbard,Northwestern,Thomas N. Hubbard,Elinor and H. Wendell Hobbs Professor of Management Professor of Strategy,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2232,1996,,,https://scholar.google.com/citations?user=1Ci5178AAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=tnh158,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=tnh158#research,
northwestern_edward_fx_hughes,Northwestern,Edward F.X. Hughes,"Professor of Strategy Professor of Preventive Medicine, Feinberg School of Medicine (Courtesy)",https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2233,1969,,,,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=efh911,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=efh911#research,
northwestern_ozge_islegen,Northwestern,Ozge Islegen,Assistant Professor of Operations,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2235,2011,,,,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=oic574,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=oic574#research,
northwestern_benjamin_iverson,Northwestern,Benjamin Iverson,Assistant Professor of Finance,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2236,2013,,,https://scholar.google.com/citations?user=x1DnG20AAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=bci802,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=bci802#research,
northwestern_ravi_jagannathan,Northwestern,Ravi Jagannathan,"Chicago Mercantile Exchange/John F. Sandner Professor of Finance Co-Director, Financial Institutions and Markets Research",https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2238,1983,,,https://scholar.google.com/citations?user=Bv90jVUAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=rja235,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=rja235#research,
northwestern_benjamin_f_jones,Northwestern,Benjamin F. Jones,"Gordon and Llura Gund Family Professor of Entrepreneurship Professor of Strategy Faculty Director, Kellogg Innovation and Entrepreneurship Initiative (KIEI)",https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2242,2003,,,https://scholar.google.com/citations?user=uzkrkCUAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=bfj879,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=bfj879#research,
northwestern_willemien_kets,Northwestern,Willemien Kets,Assistant Professor of Managerial Economics & Decision Sciences,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2248,2008,,,https://scholar.google.com/citations?user=Dx5fRlIAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=wko095,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=wko095#research,
northwestern_peter_klibanoff,Northwestern,Peter Klibanoff,Professor of Managerial Economics & Decision Sciences,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2251,1994,,,https://scholar.google.com/citations?user=Q7dnutMAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=peterk,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=peterk#research,
northwestern_robert_korajczyk,Northwestern,Robert Korajczyk,"Harry G. Guthmann Professor of Finance Co-Director, Financial Institutions and Markets Research Center",https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2254,1983,,,https://scholar.google.com/citations?user=ndaEOCoAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=rak,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=rak#research,
northwestern_maryam_kouchaki,Northwestern,Maryam Kouchaki,Assistant Professor of Management & Organizations,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=7185,2012,,,https://scholar.google.com/citations?user=reAuMi8AAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=mke060,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=mke060#research,
